"DEgenes_DCM"	"DEgenes_HCM"	"DEgenes_PPCM"	"DEgenes_IntDCM"	"DEgenes_IntHCM"
"ENSG00000110492"	"ENSG00000166448"	"ENSG00000131386"	NA	NA
"ENSG00000115592"	"ENSG00000198838"	"ENSG00000106809"	NA	NA
"ENSG00000120937"	"ENSG00000169248"	"ENSG00000135114"	NA	NA
"ENSG00000235711"	"ENSG00000235711"	"ENSG00000162998"	NA	NA
"ENSG00000118849"	"ENSG00000162998"	"ENSG00000118849"	NA	NA
"ENSG00000233968"	"ENSG00000115163"	"ENSG00000257259"	NA	NA
"ENSG00000106819"	"ENSG00000124343"	"ENSG00000115592"	NA	NA
"ENSG00000196666"	"ENSG00000175356"	"ENSG00000124713"	NA	NA
"ENSG00000159640"	"ENSG00000211892"	"ENSG00000227507"	NA	NA
"ENSG00000173432"	"ENSG00000106819"	"ENSG00000159339"	NA	NA
"ENSG00000172543"	"ENSG00000175874"	"ENSG00000163082"	NA	NA
"ENSG00000138311"	"ENSG00000182902"	"ENSG00000187193"	NA	NA
"ENSG00000143816"	"ENSG00000132681"	"ENSG00000143768"	NA	NA
"ENSG00000168329"	"ENSG00000155659"	"ENSG00000106819"	NA	NA
"ENSG00000164283"	"ENSG00000175206"	"ENSG00000100448"	NA	NA
"ENSG00000158859"	"ENSG00000018280"	"ENSG00000147588"	NA	NA
"ENSG00000135116"	"ENSG00000205362"	"ENSG00000134817"	NA	NA
"ENSG00000179954"	"ENSG00000130054"	"ENSG00000091128"	NA	NA
"ENSG00000266743"	"ENSG00000225526"	"ENSG00000250497"	NA	NA
"ENSG00000147378"	"ENSG00000261606"	"ENSG00000110492"	NA	NA
"ENSG00000124343"	"ENSG00000165105"	"ENSG00000182667"	NA	NA
"ENSG00000105664"	"ENSG00000183715"	"ENSG00000249307"	NA	NA
"ENSG00000157152"	"ENSG00000173597"	"ENSG00000164089"	NA	NA
"ENSG00000196632"	"ENSG00000144644"	"ENSG00000100033"	NA	NA
"ENSG00000090920"	"ENSG00000118849"	"ENSG00000170439"	NA	NA
"ENSG00000162747"	"ENSG00000100448"	"ENSG00000124780"	NA	NA
"ENSG00000227507"	"ENSG00000135678"	"ENSG00000175874"	NA	NA
"ENSG00000101197"	"ENSG00000124479"	"ENSG00000156466"	NA	NA
"ENSG00000139329"	"ENSG00000272327"	"ENSG00000130054"	NA	NA
"ENSG00000197299"	"ENSG00000133800"	"ENSG00000162873"	NA	NA
"ENSG00000173597"	"ENSG00000254636"	"ENSG00000105374"	NA	NA
"ENSG00000196684"	"ENSG00000140506"	"ENSG00000225978"	NA	NA
"ENSG00000187634"	"ENSG00000187730"	"ENSG00000139329"	NA	NA
"ENSG00000272327"	"ENSG00000120937"	"ENSG00000154027"	NA	NA
"ENSG00000180999"	"ENSG00000147378"	"ENSG00000264569"	NA	NA
"ENSG00000159166"	"ENSG00000260484"	"ENSG00000263812"	NA	NA
"ENSG00000237928"	"ENSG00000182132"	"ENSG00000132681"	NA	NA
"ENSG00000156466"	"ENSG00000267577"	"ENSG00000100450"	NA	NA
"ENSG00000112280"	"ENSG00000137558"	"ENSG00000265542"	NA	NA
"ENSG00000155659"	"ENSG00000156466"	"ENSG00000156475"	NA	NA
"ENSG00000186529"	"ENSG00000164484"	"ENSG00000187634"	NA	NA
"ENSG00000169126"	"ENSG00000182107"	"ENSG00000026751"	NA	NA
"ENSG00000180730"	"ENSG00000135116"	"ENSG00000139193"	NA	NA
"ENSG00000261787"	"ENSG00000164879"	"ENSG00000161570"	NA	NA
"ENSG00000136011"	"ENSG00000267339"	"ENSG00000165105"	NA	NA
"ENSG00000245164"	"ENSG00000156475"	"ENSG00000179813"	NA	NA
"ENSG00000106809"	"ENSG00000158481"	"ENSG00000165272"	NA	NA
"ENSG00000026751"	"ENSG00000211448"	"ENSG00000172543"	NA	NA
"ENSG00000198838"	"ENSG00000268433"	"ENSG00000196542"	NA	NA
"ENSG00000145649"	"ENSG00000178343"	"ENSG00000182902"	NA	NA
"ENSG00000153446"	"ENSG00000159173"	"ENSG00000173597"	NA	NA
"ENSG00000164530"	"ENSG00000164220"	"ENSG00000232229"	NA	NA
"ENSG00000180644"	"ENSG00000159640"	"ENSG00000266588"	NA	NA
"ENSG00000168619"	"ENSG00000266743"	"ENSG00000166343"	NA	NA
"ENSG00000134817"	"ENSG00000139329"	"ENSG00000007062"	NA	NA
"ENSG00000135114"	"ENSG00000121933"	"ENSG00000182132"	NA	NA
"ENSG00000164483"	"ENSG00000100450"	"ENSG00000261244"	NA	NA
"ENSG00000141314"	"ENSG00000078098"	"ENSG00000179954"	NA	NA
"ENSG00000211829"	"ENSG00000008394"	"ENSG00000155659"	NA	NA
"ENSG00000124479"	"ENSG00000134817"	"ENSG00000129048"	NA	NA
"ENSG00000134240"	"ENSG00000229246"	"ENSG00000133800"	NA	NA
"ENSG00000164946"	"ENSG00000250208"	"ENSG00000196666"	NA	NA
"ENSG00000133800"	"ENSG00000110492"	"ENSG00000176659"	NA	NA
"ENSG00000159173"	"ENSG00000154027"	"ENSG00000144406"	NA	NA
"ENSG00000129009"	"ENSG00000170579"	"ENSG00000231274"	NA	NA
"ENSG00000138378"	"ENSG00000155886"	"ENSG00000189350"	NA	NA
"ENSG00000249816"	"ENSG00000110076"	"ENSG00000237928"	NA	NA
"ENSG00000138755"	"ENSG00000196666"	"ENSG00000196684"	NA	NA
"ENSG00000112562"	"ENSG00000149403"	"ENSG00000179136"	NA	NA
"ENSG00000118137"	"ENSG00000168619"	"ENSG00000092969"	NA	NA
"ENSG00000124780"	"ENSG00000135914"	"ENSG00000140932"	NA	NA
"ENSG00000183160"	"ENSG00000196632"	"ENSG00000223802"	NA	NA
"ENSG00000172020"	"ENSG00000225756"	"ENSG00000235118"	NA	NA
"ENSG00000182667"	"ENSG00000138378"	"ENSG00000224842"	NA	NA
"ENSG00000119714"	"ENSG00000183888"	"ENSG00000175356"	NA	NA
"ENSG00000170439"	"ENSG00000166923"	"ENSG00000229221"	NA	NA
"ENSG00000117152"	"ENSG00000179083"	"ENSG00000188015"	NA	NA
"ENSG00000172061"	"ENSG00000249816"	"ENSG00000230746"	NA	NA
"ENSG00000154027"	"ENSG00000122877"	"ENSG00000019505"	NA	NA
"ENSG00000130592"	"ENSG00000138379"	"ENSG00000251576"	NA	NA
"ENSG00000169181"	"ENSG00000143595"	"ENSG00000196632"	NA	NA
"ENSG00000248587"	"ENSG00000187634"	"ENSG00000137078"	NA	NA
"ENSG00000232110"	"ENSG00000187955"	"ENSG00000174332"	NA	NA
"ENSG00000223802"	"ENSG00000158859"	"ENSG00000267577"	NA	NA
"ENSG00000162881"	"ENSG00000253369"	"ENSG00000145649"	NA	NA
"ENSG00000175874"	"ENSG00000136011"	"ENSG00000124256"	NA	NA
"ENSG00000197444"	"ENSG00000135114"	"ENSG00000229246"	NA	NA
"ENSG00000145861"	"ENSG00000236714"	"ENSG00000138311"	NA	NA
"ENSG00000265356"	"ENSG00000078725"	"ENSG00000235711"	NA	NA
"ENSG00000110076"	"ENSG00000139289"	"ENSG00000156414"	NA	NA
"ENSG00000168907"	"ENSG00000170439"	"ENSG00000114654"	NA	NA
"ENSG00000260484"	"ENSG00000118298"	"ENSG00000105894"	NA	NA
"ENSG00000018280"	"ENSG00000154080"	"ENSG00000137819"	NA	NA
"ENSG00000146250"	"ENSG00000106809"	"ENSG00000143595"	NA	NA
"ENSG00000101892"	"ENSG00000134709"	"ENSG00000183160"	NA	NA
"ENSG00000165449"	"ENSG00000205786"	"ENSG00000157368"	NA	NA
"ENSG00000163145"	"ENSG00000116254"	"ENSG00000260807"	NA	NA
"ENSG00000170162"	"ENSG00000101144"	"ENSG00000205863"	NA	NA
"ENSG00000034971"	"ENSG00000157168"	"ENSG00000164946"	NA	NA
"ENSG00000205795"	"ENSG00000138039"	"ENSG00000178343"	NA	NA
"ENSG00000130054"	"ENSG00000169126"	"ENSG00000132702"	NA	NA
"ENSG00000225756"	"ENSG00000135409"	"ENSG00000143167"	NA	NA
"ENSG00000101425"	"ENSG00000196684"	"ENSG00000240654"	NA	NA
"ENSG00000271538"	"ENSG00000119714"	"ENSG00000248587"	NA	NA
"ENSG00000162873"	"ENSG00000159166"	"ENSG00000116254"	NA	NA
"ENSG00000167286"	"ENSG00000124780"	"ENSG00000128606"	NA	NA
"ENSG00000164484"	"ENSG00000174899"	"ENSG00000165449"	NA	NA
"ENSG00000211892"	"ENSG00000129009"	"ENSG00000183888"	NA	NA
"ENSG00000228109"	"ENSG00000180999"	"ENSG00000180739"	NA	NA
"ENSG00000156414"	"ENSG00000166825"	"ENSG00000129009"	NA	NA
"ENSG00000073861"	"ENSG00000149633"	"ENSG00000167286"	NA	NA
"ENSG00000095587"	"ENSG00000146250"	"ENSG00000144644"	NA	NA
"ENSG00000180739"	"ENSG00000016391"	"ENSG00000184564"	NA	NA
"ENSG00000171101"	"ENSG00000129450"	"ENSG00000119147"	NA	NA
"ENSG00000179136"	"ENSG00000138316"	"ENSG00000179300"	NA	NA
"ENSG00000187955"	"ENSG00000261195"	"ENSG00000198838"	NA	NA
"ENSG00000108576"	"ENSG00000113296"	"ENSG00000211829"	NA	NA
"ENSG00000184544"	"ENSG00000026751"	"ENSG00000137959"	NA	NA
"ENSG00000113805"	"ENSG00000162881"	"ENSG00000250208"	NA	NA
"ENSG00000123572"	"ENSG00000120049"	"ENSG00000145708"	NA	NA
"ENSG00000116254"	"ENSG00000267287"	"ENSG00000106624"	NA	NA
"ENSG00000132681"	"ENSG00000182103"	"ENSG00000018280"	NA	NA
"ENSG00000138039"	"ENSG00000183160"	"ENSG00000115604"	NA	NA
"ENSG00000005844"	"ENSG00000154096"	"ENSG00000151012"	NA	NA
"ENSG00000198851"	"ENSG00000156265"	"ENSG00000183715"	NA	NA
"ENSG00000183715"	"ENSG00000248587"	"ENSG00000158481"	NA	NA
"ENSG00000257259"	"ENSG00000004468"	"ENSG00000259630"	NA	NA
"ENSG00000272970"	"ENSG00000161570"	"ENSG00000134709"	NA	NA
"ENSG00000140287"	"ENSG00000092969"	"ENSG00000149403"	NA	NA
"ENSG00000205436"	"ENSG00000165887"	"ENSG00000175832"	NA	NA
"ENSG00000165105"	"ENSG00000162873"	"ENSG00000224020"	NA	NA
"ENSG00000106624"	"ENSG00000105664"	"ENSG00000110076"	NA	NA
"ENSG00000008394"	"ENSG00000056736"	"ENSG00000143502"	NA	NA
"ENSG00000166482"	"ENSG00000180739"	"ENSG00000012124"	NA	NA
"ENSG00000111796"	"ENSG00000197444"	"ENSG00000163145"	NA	NA
"ENSG00000224842"	"ENSG00000165449"	"ENSG00000172061"	NA	NA
"ENSG00000056736"	"ENSG00000141314"	"ENSG00000049089"	NA	NA
"ENSG00000154096"	"ENSG00000263812"	"ENSG00000169884"	NA	NA
"ENSG00000173930"	"ENSG00000168907"	"ENSG00000087495"	NA	NA
"ENSG00000119147"	"ENSG00000186827"	"ENSG00000100053"	NA	NA
"ENSG00000134201"	"ENSG00000091844"	"ENSG00000149571"	NA	NA
"ENSG00000085265"	"ENSG00000183778"	"ENSG00000135074"	NA	NA
"ENSG00000157368"	"ENSG00000232110"	"ENSG00000100453"	NA	NA
"ENSG00000147041"	"ENSG00000149256"	"ENSG00000008394"	NA	NA
"ENSG00000131401"	"ENSG00000140287"	"ENSG00000163898"	NA	NA
"ENSG00000100385"	"ENSG00000164946"	"ENSG00000080031"	NA	NA
"ENSG00000175426"	"ENSG00000163145"	"ENSG00000206561"	NA	NA
"ENSG00000013725"	"ENSG00000158445"	"ENSG00000165887"	NA	NA
"ENSG00000184925"	"ENSG00000146013"	"ENSG00000135678"	NA	NA
"ENSG00000140459"	"ENSG00000257259"	"ENSG00000272411"	NA	NA
"ENSG00000181036"	"ENSG00000186529"	"ENSG00000005513"	NA	NA
"ENSG00000140932"	"ENSG00000205364"	"ENSG00000121933"	NA	NA
"ENSG00000261606"	"ENSG00000179954"	"ENSG00000229588"	NA	NA
"ENSG00000129450"	"ENSG00000163364"	"ENSG00000155974"	NA	NA
"ENSG00000105894"	"ENSG00000112562"	"ENSG00000136160"	NA	NA
"ENSG00000115085"	"ENSG00000163220"	"ENSG00000181847"	NA	NA
"ENSG00000152672"	"ENSG00000107518"	"ENSG00000166482"	NA	NA
"ENSG00000128606"	"ENSG00000227507"	"ENSG00000174899"	NA	NA
"ENSG00000164089"	"ENSG00000163630"	"ENSG00000130592"	NA	NA
"ENSG00000146013"	"ENSG00000223802"	"ENSG00000162881"	NA	NA
"ENSG00000226145"	"ENSG00000162009"	"ENSG00000245164"	NA	NA
"ENSG00000135409"	"ENSG00000106624"	"ENSG00000188523"	NA	NA
"ENSG00000139289"	"ENSG00000105374"	"ENSG00000128262"	NA	NA
"ENSG00000138316"	"ENSG00000138755"	"ENSG00000246100"	NA	NA
"ENSG00000267339"	"ENSG00000164932"	"ENSG00000126262"	NA	NA
"ENSG00000122176"	"ENSG00000171951"	"ENSG00000225756"	NA	NA
"ENSG00000115604"	"ENSG00000115604"	"ENSG00000237949"	NA	NA
"ENSG00000261578"	"ENSG00000138180"	"ENSG00000233968"	NA	NA
"ENSG00000007062"	"ENSG00000187193"	"ENSG00000122025"	NA	NA
"ENSG00000230102"	"ENSG00000143171"	"ENSG00000154736"	NA	NA
"ENSG00000158488"	"ENSG00000103888"	"ENSG00000166922"	NA	NA
"ENSG00000149256"	"ENSG00000119147"	"ENSG00000123572"	NA	NA
"ENSG00000162882"	"ENSG00000019505"	"ENSG00000172554"	NA	NA
"ENSG00000116824"	"ENSG00000179300"	"ENSG00000158246"	NA	NA
"ENSG00000182557"	"ENSG00000157368"	"ENSG00000095587"	NA	NA
"ENSG00000149633"	"ENSG00000179914"	"ENSG00000140287"	NA	NA
"ENSG00000205863"	"ENSG00000145708"	"ENSG00000123453"	NA	NA
"ENSG00000134709"	"ENSG00000205221"	"ENSG00000259419"	NA	NA
"ENSG00000260807"	"ENSG00000007062"	"ENSG00000180730"	NA	NA
"ENSG00000164879"	"ENSG00000138795"	"ENSG00000056736"	NA	NA
"ENSG00000168530"	"ENSG00000226145"	"ENSG00000112562"	NA	NA
"ENSG00000123453"	"ENSG00000109906"	"ENSG00000128045"	NA	NA
"ENSG00000078098"	"ENSG00000210196"	"ENSG00000005844"	NA	NA
"ENSG00000143320"	"ENSG00000103528"	"ENSG00000227191"	NA	NA
"ENSG00000160654"	"ENSG00000153446"	"ENSG00000206579"	NA	NA
"ENSG00000227191"	"ENSG00000244437"	"ENSG00000189120"	NA	NA
"ENSG00000182107"	"ENSG00000172061"	"ENSG00000149633"	NA	NA
"ENSG00000124256"	"ENSG00000182177"	"ENSG00000167371"	NA	NA
"ENSG00000165272"	"ENSG00000167157"	"ENSG00000176358"	NA	NA
"ENSG00000166923"	"ENSG00000115592"	"ENSG00000082497"	NA	NA
"ENSG00000141293"	"ENSG00000173227"	"ENSG00000182107"	NA	NA
"ENSG00000128045"	"ENSG00000248713"	"ENSG00000228109"	NA	NA
"ENSG00000159339"	"ENSG00000123453"	"ENSG00000145861"	NA	NA
"ENSG00000116983"	"ENSG00000144152"	"ENSG00000149256"	NA	NA
"ENSG00000211679"	"ENSG00000129048"	"ENSG00000176115"	NA	NA
"ENSG00000149571"	"ENSG00000267034"	"ENSG00000112280"	NA	NA
"ENSG00000182902"	"ENSG00000225383"	"ENSG00000133687"	NA	NA
"ENSG00000187730"	"ENSG00000165323"	"ENSG00000090530"	NA	NA
"ENSG00000255146"	"ENSG00000187867"	"ENSG00000204065"	NA	NA
"ENSG00000145708"	"ENSG00000100453"	"ENSG00000132561"	NA	NA
"ENSG00000181847"	"ENSG00000172020"	"ENSG00000122176"	NA	NA
"ENSG00000186827"	"ENSG00000198734"	"ENSG00000135750"	NA	NA
"ENSG00000175463"	"ENSG00000217330"	"ENSG00000105650"	NA	NA
"ENSG00000128285"	"ENSG00000178401"	"ENSG00000169126"	NA	NA
"ENSG00000163364"	"ENSG00000251576"	"ENSG00000164483"	NA	NA
"ENSG00000139410"	"ENSG00000178031"	"ENSG00000135378"	NA	NA
"ENSG00000235830"	"ENSG00000130592"	"ENSG00000129244"	NA	NA
