IL1RL1	5.80047805950939e-09
BLM	6.46861477614819e-09
TUBA3E	2.25955392131315e-08
MARK3	9.01751779771782e-07
CD163	1.09913974746031e-06
LCN6	2.03203623763782e-06
LCN10	5.25483283133177e-06
VSIG4	6.81552358818187e-06
PROM1	1.23054616577322e-05
DPYSL3	1.23054616577322e-05
GRB14	1.64466334683663e-05
GALNT15	1.70061978411363e-05
RGS4	1.93337047589234e-05
ACE	2.33701280191748e-05
AOX1	2.71998466550861e-05
FKBP5	4.41753501566317e-05
SLC31A2	4.41753501566317e-05
TLL2	4.70960120409785e-05
OASL	7.05234480655896e-05
LYVE1	7.11586087654485e-05
VIP	8.28287225475264e-05
APLNR	9.10635874540348e-05
TDRD9	0.00013975627087098
CRHBP	0.000144487794035539
WNK3	0.000182709737213709
CPM	0.000361386457515818
KCNS3	0.000607638999386453
DACT1	0.000608304087501595
CXCL10	0.000695030426585661
SYN2	0.00071673766690756
PTGFRN	0.00100166011447989
SLC25A18	0.00113407976201256
CD38	0.00155386057714738
CD83	0.00160877857751096
TMIGD3	0.00230967935635482
SARM1	0.0028365714543702
SERTAD4	0.00313216184501137
HIF3A	0.00400895351931277
NID1	0.00798800897421516
TPO	0.00869211012075856
MGST1	0.0100766296330062
RERE	0.0115664397639974
ARMC4	0.0122652698605772
TIMP3	0.0128470545568979
KLF15	0.0227000504782941
SLA	0.0328763277773947
TFCP2L1	0.036093874676861
SLC2A1	0.0399944651673517
