"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::score","stringdb::textmining"
"32.93269241849895","pp","GZMA (pp) CD3D","false","pp","GZMA (pp) CD3D","0.563",,,,"0.727","0.4"
"18.55027176154688","pp","GZMA (pp) CD247","false","pp","GZMA (pp) CD247","0.561",,,,"0.726","0.4"
"18.633333333333333","pp","GZMA (pp) CD2","false","pp","GZMA (pp) CD2","0.824",,,,"0.88","0.349"
"9.70681818181818","pp","GZMA (pp) CD8A","false","pp","GZMA (pp) CD8A","0.776",,,,"0.816","0.211"
"3.0769230769230766","pp","GZMA (pp) PRF1","false","pp","GZMA (pp) PRF1","0.729",,"0.9",,"0.996","0.87"
"15.742268972852626","pp","IL2RB (pp) ZAP70","false","pp","IL2RB (pp) ZAP70","0.582",,,,"0.742","0.409"
"8.924999999999997","pp","IL2RB (pp) GZMA","false","pp","IL2RB (pp) GZMA","0.591",,,,"0.766","0.453"
"12.694649925233582","pp","IL2RB (pp) CD3D","false","pp","IL2RB (pp) CD3D","0.312",,"0.9",,"0.945","0.268"
"9.672194472194471","pp","IL2RB (pp) CTLA4","false","pp","IL2RB (pp) CTLA4","0.156",,,,"0.709","0.67"
"9.640384615384615","pp","IL2RB (pp) CD8B","false","pp","IL2RB (pp) CD8B","0.133",,"0.9",,"0.935","0.318"
"30.406332503334067","pp","IL2RB (pp) LCK","false","pp","IL2RB (pp) LCK","0.187",,"0.9","0.379","0.97","0.479"
"9.042268972852627","pp","IL2RB (pp) CD3E","false","pp","IL2RB (pp) CD3E","0.302",,"0.9",,"0.956","0.429"
"5.610852860312722","pp","IL2RB (pp) CD247","false","pp","IL2RB (pp) CD247","0.638",,"0.9",,"0.971","0.267"
"13.465376290376287","pp","IL2RB (pp) CD2","false","pp","IL2RB (pp) CD2","0.563",,,,"0.779","0.515"
"10.329653679653678","pp","IL2RB (pp) IL2RG","false","pp","IL2RB (pp) IL2RG","0.299",,"0.9","0.87","0.998","0.836"
"5.113636363636363","pp","IL2RB (pp) CD8A","false","pp","IL2RB (pp) CD8A","0.322",,"0.9",,"0.965","0.527"
"10.142948717948718","pp","IL2RB (pp) PRF1","false","pp","IL2RB (pp) PRF1","0.62",,,,"0.859","0.645"
"11.2136975442812","pp","IL2RB (pp) CD3G","false","pp","IL2RB (pp) CD3G","0.292",,"0.9",,"0.94","0.221"
"20.207875457875453","pp","CD6 (pp) CD5","false","pp","CD6 (pp) CD5","0.685",,,"0.379","0.867","0.375"
"57.792124542124526","pp","CD6 (pp) CD2","false","pp","CD6 (pp) CD2","0.674",,,,"0.89","0.677"
"19.566077974411915","pp","CD247 (pp) CD2","false","pp","CD247 (pp) CD2","0.776",,"0.9","0.379","0.991","0.448"
"7.853463203463205","pp","CD247 (pp) IL2RG","false","pp","CD247 (pp) IL2RG","0.231",,"0.9",,"0.936","0.244"
"31.042301941370855","pp","CD247 (pp) HLA-DRA","false","pp","CD247 (pp) HLA-DRA","0.13",,"0.9",,"0.925","0.211"
"6.6646684556013565","pp","CD247 (pp) CD8A","false","pp","CD247 (pp) CD8A","0.359",,"0.9",,"0.95","0.295"
"26.722066633341754","pp","CD247 (pp) PRF1","false","pp","CD247 (pp) PRF1","0.544",,,,"0.736","0.444"
"31.04230194137086","pp","CD247 (pp) HLA-DPB1","false","pp","CD247 (pp) HLA-DPB1","0.108",,"0.6",,"0.731","0.308"
"3.8816849816849817","pp","CD247 (pp) CD3G","false","pp","CD247 (pp) CD3G","0.387",,"0.9",,"0.982","0.743"
"12.96482612521889","pp","HLA-DPB1 (pp) CD3G","false","pp","HLA-DPB1 (pp) CD3G","0.081",,"0.9",,"0.924","0.243"
"78.0","pp","BST1 (pp) ITGAL","false","pp","BST1 (pp) ITGAL","0.085",,"0.9",,"0.904",
"8.266515837104073","pp","CD3D (pp) CD8B","false","pp","CD3D (pp) CD8B","0.555",,"0.9","0.379","0.987","0.593"
"12.783333333333331","pp","CD3D (pp) LCK","false","pp","CD3D (pp) LCK","0.739",,"0.9","0.05","0.985","0.479"
"5.383333333333334","pp","CD3D (pp) CD3E","false","pp","CD3D (pp) CD3E","0.766",,"0.9","0.87","0.999","0.826"
"5.545970695970697","pp","CD3D (pp) CD247","false","pp","CD3D (pp) CD247","0.756",,"0.9","0.379","0.995","0.734"
"31.778948635343408","pp","CD3D (pp) CD2","false","pp","CD3D (pp) CD2","0.784",,,,"0.885","0.491"
"53.0051948051948","pp","CD3D (pp) SH2D1A","false","pp","CD3D (pp) SH2D1A","0.653",,,,"0.75","0.31"
"9.185064935064933","pp","CD3D (pp) IL2RG","false","pp","CD3D (pp) IL2RG","0.371",,"0.9",,"0.955","0.349"
"22.676812655342975","pp","CD3D (pp) HLA-DRA","false","pp","CD3D (pp) HLA-DRA","0.097",,"0.9",,"0.936","0.354"
"11.723168184567538","pp","CD3D (pp) CD8A","false","pp","CD3D (pp) CD8A","0.383",,"0.9","0.379","0.973","0.389"
"25.583541831253736","pp","CD3D (pp) HLA-DPA1","false","pp","CD3D (pp) HLA-DPA1","0.097",,"0.9",,"0.921","0.2"
"22.676812655342975","pp","CD3D (pp) HLA-DPB1","false","pp","CD3D (pp) HLA-DPB1","0.103",,"0.9",,"0.924","0.229"
"4.4","pp","CD3D (pp) CD3G","false","pp","CD3D (pp) CD3G","0.827",,"0.9","0.379","0.989","0.131"
"78.0","pp","CXCL16 (pp) CXCR4","false","pp","CXCL16 (pp) CXCR4",,,"0.9",,"0.951","0.539"
"33.406060606060606","pp","SLAMF7 (pp) SH2D1A","false","pp","SLAMF7 (pp) SH2D1A","0.098",,,"0.532","0.813","0.591"
"45.927272727272744","pp","SLAMF7 (pp) CD48","false","pp","SLAMF7 (pp) CD48","0.319",,,,"0.745","0.642"
"24.266336875303868","pp","HLA-DMB (pp) HLA-DPB1","false","pp","HLA-DMB (pp) HLA-DPB1","0.38",,"0.9",,"0.948","0.241"
"2.0","pp","HLA-DOA (pp) HLA-DMA","false","pp","HLA-DOA (pp) HLA-DMA","0.195",,"0.9","0.87","0.99","0.216"
"24.266336875303868","pp","HLA-DOA (pp) HLA-DRA","false","pp","HLA-DOA (pp) HLA-DRA","0.19",,"0.9",,"0.918","0.075"
"19.46732624939224","pp","HLA-DOA (pp) HLA-DPA1","false","pp","HLA-DOA (pp) HLA-DPA1","0.181",,"0.9",,"0.918","0.079"
"2.0","pp","HLA-DOA (pp) HLA-DMB","false","pp","HLA-DOA (pp) HLA-DMB","0.221",,"0.9","0.475","0.966","0.265"
"24.266336875303868","pp","HLA-DOA (pp) HLA-DPB1","false","pp","HLA-DOA (pp) HLA-DPB1","0.219",,"0.9","0.195","0.946","0.242"
"3.2583333333333333","pp","KLRB1 (pp) GZMK","false","pp","KLRB1 (pp) GZMK","0.722",,,,"0.783","0.253"
"12.072222222222223","pp","KLRB1 (pp) GZMA","false","pp","KLRB1 (pp) GZMA","0.779",,,,"0.869","0.431"
"52.79000000000001","pp","KLRB1 (pp) CD2","false","pp","KLRB1 (pp) CD2","0.717",,,,"0.862","0.535"
"9.879444444444443","pp","KLRB1 (pp) PRF1","false","pp","KLRB1 (pp) PRF1","0.273",,,,"0.72","0.631"
"19.79365258924082","pp","CD8B (pp) LCK","false","pp","CD8B (pp) LCK","0.291",,"0.9",,"0.951","0.376"
"7.015874811463049","pp","CD8B (pp) CD3E","false","pp","CD8B (pp) CD3E","0.395",,"0.9",,"0.975","0.63"
"6.901822523881346","pp","CD8B (pp) CD247","false","pp","CD8B (pp) CD247","0.301",,"0.9",,"0.946","0.296"
"2.25","pp","CD8B (pp) IL2RG","false","pp","CD8B (pp) IL2RG","0.169",,"0.9",,"0.925","0.172"
"9.057692307692307","pp","CD8B (pp) CD8A","false","pp","CD8B (pp) CD8A","0.479",,"0.9","0.841","0.996","0.663"
"5.30818250377074","pp","CD8B (pp) CD3G","false","pp","CD8B (pp) CD3G","0.213",,"0.9",,"0.963","0.571"
"19.46732624939224","pp","HLA-DPA1 (pp) HLA-DMB","false","pp","HLA-DPA1 (pp) HLA-DMB","0.701",,"0.9","0.268","0.981","0.242"
"2.3626373626373627","pp","HLA-DPA1 (pp) HLA-DPB1","false","pp","HLA-DPA1 (pp) HLA-DPB1","0.435",,"0.9","0.899","0.995","0.314"
"14.487484810665299","pp","HLA-DPA1 (pp) CD3G","false","pp","HLA-DPA1 (pp) CD3G","0.063",,"0.9",,"0.925","0.267"
"11.423251748251747","pp","CD8A (pp) PRF1","false","pp","CD8A (pp) PRF1","0.55",,,,"0.771","0.512"
